"LECTURER-INSTRUCTOR","ASSISTANT PROF","ASSOCIATE PROF","FULL PROF","CHAIR"
"LECTURER-INSTRUCTOR",112,55,66,24,0
"ASSISTANT PROF",41,114,70,35,0
"ASSOCIATE PROF",175,216,351,161,0
"FULL PROF",1,1,3,3,0
"CHAIR",0,0,0,0,0
